Threshold,False Negatives,False Positives,Expected Cost
0.2524932795698925,37,167,210050
0.2525,37,166,209900
0.2547355139101968,37,164,209600
0.255598536943759,37,163,209450
0.2557958139224542,37,162,209300
0.2569536323051948,37,161,209150
0.2597277462121212,37,160,209000
0.2598838275491345,37,159,208850
0.2610164835164835,37,158,208700
0.26168889578163773,37,157,208550
0.26172431298082066,37,156,208400
0.2631014896098411,37,155,208250
0.265758549337591,37,154,208100
0.2665597909607643,37,153,207950
0.2674605752557396,37,152,207800
0.2675,37,151,207650
0.27,37,149,207350
0.27032937898390724,37,148,207200
0.27124871955561164,37,147,207050
0.27191307520984226,37,146,206900
0.27257074263274095,37,145,206750
0.27429005835538883,38,145,211750
0.275,38,144,211600
0.27500314525220654,38,143,211450
0.27505579079585596,38,142,211300
0.2775,38,141,211150
0.2807826012353096,38,140,211000
0.28099564456190523,38,139,210850
0.28167413651787326,38,138,210700
0.28223409930645565,38,137,210550
0.2824534161490683,38,136,210400
0.2830547459888852,38,135,210250
0.28381371413403467,38,134,210100
0.2838193334598584,38,133,209950
0.285,38,132,209800
0.28720821272512553,38,130,209500
0.28744541487373426,38,129,209350
0.2895151515151515,38,128,209200
0.2899290150528311,38,127,209050
0.29,38,126,208900
0.2940277777777778,38,124,208600
0.2940965507822528,38,123,208450
0.29716747146619843,39,123,213450
0.29998762376237625,39,122,213300
0.30013412470239825,39,121,213150
0.3025,39,120,213000
0.30327895388845183,39,119,212850
0.30566336389374893,39,118,212700
0.30582749722218294,39,117,212550
0.305986496521071,39,116,212400
0.306849169836911,39,115,212250
